2026-04-25 06:58:28,729 - ShadowDaemon - INFO - 🤖 Iniciando Shadow Evaluator V4.2 - Cargando Matrix...
2026-04-25 07:00:04,377 - ShadowDaemon - INFO - == [TICK] Símbolo: HBAR/USDT | Precio: $0.0911 ==
2026-04-25 07:00:04,377 - ShadowDaemon - INFO -   ➜ Acción IA: 1 | Shadow Bal: $999.50 | P(hold): 25.55% | Avg Hold: 0.0 velas
2026-04-25 07:05:07,571 - ShadowDaemon - INFO - == [TICK] Símbolo: HBAR/USDT | Precio: $0.0910 ==
2026-04-25 07:05:07,571 - ShadowDaemon - INFO -   ➜ Acción IA: 1 | Shadow Bal: $999.50 | P(hold): 25.55% | Avg Hold: 0.0 velas
2026-04-25 07:06:14,909 - ShadowDaemon - INFO - 🤖 Iniciando Shadow Evaluator V4.2 - Cargando Matrix...
2026-04-25 13:10:03,258 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:15:06,906 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:20:05,094 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:25:03,835 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:30:06,412 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:35:04,178 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:40:06,546 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:45:04,806 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:50:08,076 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:55:06,347 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
